Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
72391_Update Login Page with New Logo,Chrome 67.0.3396.99,,2018-07-10 17:28:59,2018-07-10 17:29:23,23.959s,PASSED
,,,,,,
Test Cases/72391_Update Login Page with New Logo/73417_73418_Verify Invoking of TPP URL will display new TPP login page,Chrome 67.0.3396.99,,2018-07-10 17:29:00,2018-07-10 17:29:09,9.498s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:29:00,2018-07-10 17:29:04,3.453s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:29:04,2018-07-10 17:29:06,2.371s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 17:29:06,2018-07-10 17:29:06,0.100s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:29:06,2018-07-10 17:29:07,0.284s,PASSED
click,Chrome 67.0.3396.99,Click on <LOG IN> link,2018-07-10 17:29:07,2018-07-10 17:29:08,1.568s,PASSED
verifyElementText,Chrome 67.0.3396.99,"Verify Text \""Welcome to FNTG Agency Suite of Application\"" is present on the page after load",2018-07-10 17:29:08,2018-07-10 17:29:08,0.132s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_2,2018-07-10 17:29:08,2018-07-10 17:29:09,0.314s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:29:09,2018-07-10 17:29:09,0.835s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73419_Verify 4 hover feature - Login, Easy, Secure and Flexible",Chrome 67.0.3396.99,,2018-07-10 17:29:09,2018-07-10 17:29:16,7.034s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:29:10,2018-07-10 17:29:12,2.243s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:29:12,2018-07-10 17:29:13,1.269s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 17:29:13,2018-07-10 17:29:13,0.035s,PASSED
maximizeWindow,Chrome 67.0.3396.99,Maximize Window,2018-07-10 17:29:13,2018-07-10 17:29:14,1.159s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Easy Image,2018-07-10 17:29:14,2018-07-10 17:29:14,0.086s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:29:14,2018-07-10 17:29:15,0.347s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Flexible Image\r\n,2018-07-10 17:29:15,2018-07-10 17:29:15,0.052s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:29:15,2018-07-10 17:29:15,0.326s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Secure Image,2018-07-10 17:29:15,2018-07-10 17:29:15,0.056s,PASSED
