Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:29:15,2018-07-10 17:29:16,0.327s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:29:16,2018-07-10 17:29:16,0.814s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73420_Verify Links on TPP Screen - AboutUs, TermsofUs, Privacy, ForgotPass, Register",Chrome 67.0.3396.99,,2018-07-10 17:29:16,2018-07-10 17:29:23,6.827s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:29:17,2018-07-10 17:29:19,2.237s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:29:19,2018-07-10 17:29:21,2.409s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for <Log In> button to be present,2018-07-10 17:29:21,2018-07-10 17:29:21,0.031s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate if <About Us> Link is Clickable,2018-07-10 17:29:21,2018-07-10 17:29:21,0.065s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <About Us> Link has href attribute of: http://www.fnf.com/pages/about-us.aspx,2018-07-10 17:29:21,2018-07-10 17:29:22,0.079s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate that <Register> button is clickable,2018-07-10 17:29:22,2018-07-10 17:29:22,0.052s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Register> Link has href attribute of: https://titlepayplus-int.fnf.com/Home/Register,2018-07-10 17:29:22,2018-07-10 17:29:22,0.038s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate that <Privacy Notice> is Clickable\r\n,2018-07-10 17:29:22,2018-07-10 17:29:22,0.076s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Privacy Notice> has href attribute of: http://www.fnf.com/privacy,2018-07-10 17:29:22,2018-07-10 17:29:22,0.046s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate <Terms of Use> is Clickable,2018-07-10 17:29:22,2018-07-10 17:29:22,0.048s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Terms of Use> has href attribute of: http://www.fnf.com/termsofuse,2018-07-10 17:29:22,2018-07-10 17:29:22,0.040s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take a Snapshot 73420_1.jpg,2018-07-10 17:29:22,2018-07-10 17:29:22,0.289s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:29:22,2018-07-10 17:29:23,1.104s,PASSED
