Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
72391_Update Login Page with New Logo,Chrome 67.0.3396.99,,2018-07-10 17:44:58,2018-07-10 17:45:22,24.144s,PASSED
,,,,,,
Test Cases/72391_Update Login Page with New Logo/73417_73418_Verify Invoking of TPP URL will display new TPP login page,Chrome 67.0.3396.99,,2018-07-10 17:44:59,2018-07-10 17:45:08,9.137s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:44:59,2018-07-10 17:45:03,3.851s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:45:03,2018-07-10 17:45:04,1.323s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 17:45:04,2018-07-10 17:45:04,0.111s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:45:04,2018-07-10 17:45:05,0.376s,PASSED
click,Chrome 67.0.3396.99,Click on <LOG IN> link,2018-07-10 17:45:05,2018-07-10 17:45:06,1.624s,PASSED
verifyElementText,Chrome 67.0.3396.99,"Verify Text \""Welcome to FNTG Agency Suite of Application\"" is present on the page after load",2018-07-10 17:45:06,2018-07-10 17:45:07,0.084s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_2,2018-07-10 17:45:07,2018-07-10 17:45:07,0.415s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:45:07,2018-07-10 17:45:08,0.926s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73419_Verify 4 hover feature - Login, Easy, Secure and Flexible",Chrome 67.0.3396.99,,2018-07-10 17:45:08,2018-07-10 17:45:17,8.925s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:45:09,2018-07-10 17:45:11,2.363s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:45:11,2018-07-10 17:45:13,2.407s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 17:45:13,2018-07-10 17:45:13,0.036s,PASSED
maximizeWindow,Chrome 67.0.3396.99,Maximize Window,2018-07-10 17:45:13,2018-07-10 17:45:15,1.150s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Easy Image,2018-07-10 17:45:15,2018-07-10 17:45:15,0.101s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:45:15,2018-07-10 17:45:15,0.372s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Flexible Image\r\n,2018-07-10 17:45:15,2018-07-10 17:45:15,0.048s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:45:15,2018-07-10 17:45:15,0.322s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Secure Image,2018-07-10 17:45:15,2018-07-10 17:45:15,0.051s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 17:45:15,2018-07-10 17:45:16,0.386s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:45:16,2018-07-10 17:45:17,0.999s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73420_Verify Links on TPP Screen - AboutUs, TermsofUs, Privacy, ForgotPass, Register",Chrome 67.0.3396.99,,2018-07-10 17:45:17,2018-07-10 17:45:22,5.608s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 17:45:17,2018-07-10 17:45:19,2.269s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 17:45:19,2018-07-10 17:45:21,1.433s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for <Log In> button to be present,2018-07-10 17:45:21,2018-07-10 17:45:21,0.037s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate if <About Us> Link is Clickable,2018-07-10 17:45:21,2018-07-10 17:45:21,0.063s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <About Us> Link has href attribute of: http://www.fnf.com/pages/about-us.aspx,2018-07-10 17:45:21,2018-07-10 17:45:21,0.054s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate that <Register> button is clickable,2018-07-10 17:45:21,2018-07-10 17:45:21,0.051s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Register> Link has href attribute of: https://titlepayplus-int.fnf.com/Home/Register,2018-07-10 17:45:21,2018-07-10 17:45:21,0.035s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate that <Privacy Notice> is Clickable\r\n,2018-07-10 17:45:21,2018-07-10 17:45:21,0.042s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Privacy Notice> has href attribute of: http://www.fnf.com/privacy,2018-07-10 17:45:21,2018-07-10 17:45:21,0.032s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate <Terms of Use> is Clickable,2018-07-10 17:45:21,2018-07-10 17:45:21,0.041s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Terms of Use> has href attribute of: http://www.fnf.com/termsofuse,2018-07-10 17:45:21,2018-07-10 17:45:21,0.036s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take a Snapshot 73420_1.jpg,2018-07-10 17:45:21,2018-07-10 17:45:21,0.266s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 17:45:21,2018-07-10 17:45:22,0.927s,PASSED
