Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
72391_Update Login Page with New Logo,Chrome 67.0.3396.99,,2018-07-10 20:02:50,2018-07-10 20:03:18,28.090s,FAILED
,,,,,,
Test Cases/72391_Update Login Page with New Logo/73417_73418_Verify Invoking of TPP URL will display new TPP login page,Chrome 67.0.3396.99,,2018-07-10 20:02:51,2018-07-10 20:03:03,12.817s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 20:02:51,2018-07-10 20:02:56,4.564s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 20:02:56,2018-07-10 20:02:59,3.542s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 20:02:59,2018-07-10 20:02:59,0.097s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 20:02:59,2018-07-10 20:03:00,0.357s,PASSED
click,Chrome 67.0.3396.99,Click on <LOG IN> link,2018-07-10 20:03:00,2018-07-10 20:03:02,2.281s,PASSED
verifyElementText,Chrome 67.0.3396.99,"Verify Text \""Welcome to FNTG Agency Suite of Application\"" is present on the page after load",2018-07-10 20:03:02,2018-07-10 20:03:02,0.127s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_2,2018-07-10 20:03:02,2018-07-10 20:03:02,0.496s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 20:03:02,2018-07-10 20:03:03,0.830s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73419_Verify 4 hover feature - Login, Easy, Secure and Flexible",Chrome 67.0.3396.99,,2018-07-10 20:03:03,2018-07-10 20:03:11,7.879s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 20:03:04,2018-07-10 20:03:06,2.320s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 20:03:06,2018-07-10 20:03:08,1.842s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 20:03:08,2018-07-10 20:03:08,0.032s,PASSED
maximizeWindow,Chrome 67.0.3396.99,Maximize Window,2018-07-10 20:03:08,2018-07-10 20:03:09,1.150s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Easy Image,2018-07-10 20:03:09,2018-07-10 20:03:09,0.092s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 20:03:09,2018-07-10 20:03:10,0.476s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Flexible Image\r\n,2018-07-10 20:03:10,2018-07-10 20:03:10,0.052s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 20:03:10,2018-07-10 20:03:10,0.350s,PASSED
mouseOver,Chrome 67.0.3396.99,Mouse Over to Secure Image,2018-07-10 20:03:10,2018-07-10 20:03:10,0.050s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 20:03:10,2018-07-10 20:03:10,0.339s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 20:03:10,2018-07-10 20:03:11,0.831s,PASSED
,,,,,,
"Test Cases/72391_Update Login Page with New Logo/73420_Verify Links on TPP Screen - AboutUs, TermsofUs, Privacy, ForgotPass, Register",Chrome 67.0.3396.99,,2018-07-10 20:03:11,2018-07-10 20:03:17,5.822s,FAILED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 20:03:12,2018-07-10 20:03:14,2.507s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 20:03:14,2018-07-10 20:03:16,1.921s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for <Log In> button to be present,2018-07-10 20:03:16,2018-07-10 20:03:16,0.032s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate if <About Us> Link is Clickable,2018-07-10 20:03:16,2018-07-10 20:03:16,0.067s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <About Us> Link has href attribute of: http://www.fnf.com/pages/about-us.aspx,2018-07-10 20:03:16,2018-07-10 20:03:16,0.060s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,Validate that <Register> button is clickable,2018-07-10 20:03:16,2018-07-10 20:03:16,0.076s,PASSED
verifyElementAttributeValue,Chrome 67.0.3396.99,Validate that <Register> Link has href attribute of: https://titlepayplus-int.fnf.com/Home/Register,2018-07-10 20:03:16,2018-07-10 20:03:17,0.715s,FAILED
