Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
72391_Update Login Page with New Logo,Chrome 67.0.3396.99,,2018-07-10 15:38:28,2018-07-10 15:38:45,16.794s,PASSED
,,,,,,
Test Cases/73417_Verify Invoiking of TPP URL will display new TPP login page,Chrome 67.0.3396.99,,2018-07-10 15:38:28,2018-07-10 15:38:45,16.339s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 15:38:29,2018-07-10 15:38:32,3.611s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL,2018-07-10 15:38:32,2018-07-10 15:38:38,5.787s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,Wait for Element <LOG IN> to be present,2018-07-10 15:38:38,2018-07-10 15:38:38,0.148s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_1,2018-07-10 15:38:38,2018-07-10 15:38:39,0.302s,PASSED
click,Chrome 67.0.3396.99,Click on <LOG IN> link,2018-07-10 15:38:39,2018-07-10 15:38:43,4.636s,PASSED
verifyElementText,Chrome 67.0.3396.99,"Verify Text \""Welcome to FNTG Agency Suite of Application\"" is present on the page after load",2018-07-10 15:38:43,2018-07-10 15:38:43,0.090s,PASSED
takeScreenshot,Chrome 67.0.3396.99,Take Snapshot 73417_2,2018-07-10 15:38:43,2018-07-10 15:38:44,0.522s,PASSED
closeBrowser,Chrome 67.0.3396.99,Close Browser,2018-07-10 15:38:44,2018-07-10 15:38:45,0.792s,PASSED
